Common Name,Scientific Name,Museum Counts,Citizen Science Counts
NoCommonName,Cutina arcuata,NaN,1
NoCommonName,Cutina distincta,NaN,2
NoCommonName,Cyclophora nanaria,NaN,1
NoCommonName,Cyclophora packardi,0,74
NoCommonName,Cyclophora pendulinaria,NaN,9
NoCommonName,Cyclophora unidentified species,NaN,3
NoCommonName,Cycnia collaris,NaN,1
NoCommonName,Cycnia oregonensis,1,5
NoCommonName,Cycnia tenera,3,43
NoCommonName,Cydia caryana,0,9
NoCommonName,Cydia latiferreana,0,26
NoCommonName,Cydia marita,NaN,2
NoCommonName,Cydia toreuta,NaN,6
Gemmed Satyr,Cyllopsis Gemma,7,1368
